Millis,Red,IR
356204,94289,117757
356255,94276,117759
356306,94317,117784
356357,94332,117819
356408,94327,117775
356459,94333,117791
356518,94314,117791
356561,94338,117800
356612,94308,117799
356663,94268,117753
356717,94261,117736
356765,94272,117774
356816,94349,117816
356878,94350,117804
356918,94354,117825
356969,94372,117828
357020,94359,117819
357078,94367,117816
357123,94378,117828
357174,94421,117859
357225,94447,117873
357278,94441,117870
357327,94410,117836
357378,94273,117740
357437,94216,117730
357480,94210,117708
357531,94221,117751
357582,94279,117801
357637,94308,117792
357684,94295,117803
357735,94303,117783
357786,94314,117808
357837,94303,117791
357888,94248,117726
357939,94214,117766
357997,94266,117807
358041,94309,117782
358092,94238,117755
358143,94008,117604
358197,93991,117595
358245,94014,117612
358297,94011,117597
358358,93984,117588
358399,93965,117565
358450,93910,117526
358501,93783,117438
358558,93728,117431
358603,93709,117413
358654,93659,117400
358705,93632,117371
358758,93621,117360
358807,93594,117346
358858,93559,117325
358917,93571,117340
358960,93591,117336
359011,93597,117353
359062,93585,117342
359118,93608,117346
359164,93602,117359
359215,93576,117342
359266,93612,117338
359318,93604,117354
359368,93608,117336
359419,93567,117327
359477,93573,117320
359522,93534,117294
359573,93529,117319
359624,93443,117237
359677,93452,117244
359726,93464,117265
359777,93470,117261
359838,93491,117252
359879,93423,117228
359930,93383,117196
359981,93349,117192
360038,93341,117199
360083,93299,117184
360134,93349,117202
360185,93279,117184
360238,93305,117178
360287,93298,117217
360338,93330,117206
360398,93378,117221
360440,93393,117220
360491,93382,117248
360542,93565,117374
360598,93672,117264
360644,92838,116665
360695,92031,116409
360747,91273,117184
360798,91493,118723
360849,91341,118865
360900,91078,118831
360959,91059,118705
361002,91069,118337
361053,90950,117369
361104,90402,115835
361159,92228,117607
361206,94741,118959
361257,95763,118521
361318,93699,117403
361359,93475,117787
361410,94287,118147
361461,95067,118178
361518,93992,117639
361563,93180,117293
361614,92496,116968
361665,91997,119258
361719,91805,119308
361767,91697,119249
361818,91656,118868
361878,91514,118113
361920,91150,116923
361972,90856,116137
362023,94020,118563
362078,95748,119805
